연번,브랜드명,사업장명,사업자등록번호,대표자명,업종(중분류),업종(소분류),주소,직원수,임금(월),소재지,수평적 조직문화,순이익증가율,총자산순이익율,부채비율,총자본회전율,워라밸,자아실현,육아휴직,"사내 육아 
시설/서비스","근무안정성
(위험도)","사내 장애인
시설/서비스","근무안정성
(위험도)",수평적 조직 문화
2022-14236,사회적기업,안산의료복지 사회적협동조합,1348204659,김영림,Q.보건업 및 사회복지 서비스업(86~87),의원,"경기 안산시 상록구 예술광장로 316층 601호 (월피동, 파크프라자)",32,2500000,경기도,2.7,NA,1.8,348.5,1.6,2.8,2.8,0,0,,1,0,2.7
2022-02889,이노비즈기업,아트원주식회사,2398800149,엄태건,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",자동차 및 모터사이클 수리업,"대전 유성구 안금로15번길 49-4, 1층 (안산동)",20,3046666.667,대전광역시,NA,1118.1,9.7,463,2.8,NA,NA,1,0,,1,0,NA
2022-00083,신청기업,아이엠써키트(주),4098653595,조경표,C.제조업(10~34),전자부품 제조업,인천광역시 남동구 남동동로154번길 42(고잔동),30,2500000,인천광역시,5,19.2,8,239.3,0.8,1,1,1,1,,0,0,5
2022-07871,이노비즈기업,아이에스(주),1318149567,인성철,F.건설업(41~42),건설업본사(소분류),인천 연수구 청량로155번길 6201 (옥련동),10,3155000,인천광역시,NA,0.6,4,23.7,1.5,NA,NA,1,0,,0,0,NA
2022-14471,사회적기업,㈜휴먼토탈서비스,4928701043,최병구,L.부동산업(68),부동산 관련 서비스업,서울특별시 서초구 사임당로20길 56-10(서초동) B1층,27,2500000,서울특별시,NA,-33.9,3.8,93.2,3.3,NA,NA,1,1,,0,0,NA
2022-00141,신청기업,아마다웰드테크코리아 주식회사,2298105487,후지모토 타카시,C.제조업(10~34),절연선 및 케이블 제조업,경기 화성시 동탄하나1길 28(능동),76,2978000,경기도,2.1,-86.3,2.9,23.3,0.9,2.7,2.3,1,0,,0,0,2.1
2022-16444,안전보건경영시스템 인증,씨지앤율촌전력주식회사,4168167786,차이우장,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",전기업,전남 광양시 광양읍 인덕로 360-202,99,5239166.667,전라남도,4,-39,1.9,169.4,0.7,5,5,1,0,,1,0,4
2022-16481,안전보건경영시스템 인증,씨지앤대산전력주식회사,1018646259,차이우장,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",전기업,충남 서산시 대산읍 독곶1로 82,94,4057500,충청남도,2.9,61.1,1,120.3,0.2,3.1,3,0,0,,1,0,2.9
2022-00214,신청기업,씨와이오토텍(주),1248650436,조준상,C.제조업(10~34),자동차 신품 부품 제조업,경기 화성시 봉담읍 덕우공단1길 65-22,66,3033333.333,경기도,2.9,NA,1.9,45.9,1.4,2.5,2.5,0,0,,1,0,2.9
2022-11186,메인비즈기업,쌍용자동차인천정비사업소 주식회사,1218144866,최영구,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",자동차 및 모터사이클 수리업,인천 동구 방축로 17(송현동),43,3322500,인천광역시,NA,1859.6,0.2,201.7,0.3,NA,NA,1,1,,0,0,NA
2022-09865,메인비즈기업,쌍용자동차부평정비사업소(주),1228171804,김명철,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",자동차 및 모터사이클 수리업,인천 부평구 장제로381번길 12-15(갈산동),44,3308333.333,인천광역시,4,-29,2.3,132.2,0.5,3,4,0,0,,1,0,4
2022-09885,메인비즈기업,싱가포르국제학교광주러닝센터주식회사,4088608383,이기훈,P.교육 서비스업(85),기타 교육기관,"광주광역시 남구 오방로 17(봉선동, 3층,4층,5층)",10,2500000,광주광역시,NA,-89.2,1.7,353.3,2.7,NA,NA,1,1,,1,0,NA
2022-15038,가족친화인증기업,신한캐피탈(주),1348111323,정운진,K.금융 및 보험업(64~66),기타 금융업,경기 안산시 단원구 당곡로 17(고잔동),284,6813333.333,경기도,3.3,82.7,2.8,533.7,NA,3.5,3.3,1,1,,0,0,3.3
2022-09406,이노비즈기업,신영전자통신(주),2148632162,김성식,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",전기업,서울 서초구 신흥말길 99(내곡동),9,1762500,서울특별시,3,150.2,3.4,42.4,0.4,4,2,1,0,,1,0,3
2022-12594,메인비즈기업,신성가스공업(주),1288108425,우국환,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",연료용 가스 제조 및 배관공급업,경기 파주시 문산읍 통일로 1708,17,4243333.333,경기도,NA,NA,-3,189.2,1.2,NA,NA,1,0,,0,0,NA
2022-13428,메인비즈기업,신석개발산업(주),3118108653,이범주,B.광업(05~08),토사석 광업,충청남도 당진시 교동1길 7-20(읍내동),25,3256666.667,충청남도,NA,-99.7,0.1,146.1,0.6,NA,NA,1,0,,0,0,NA
2022-14296,사회적기업,수원의료복지 사회적협동조합,1248218156,한동근,Q.보건업 및 사회복지 서비스업(86~87),의원,"경기도 수원시 영통구 봉영로 16052층 221호 ((영통동,모던타운))",NA,3644166.667,경기도,NA,NA,-27.4,443.1,1.8,NA,NA,1,1,,1,0,NA
2022-14448,사회적기업,주식회사 동진,5018800267,조강문,L.부동산업(68),부동산 관련 서비스업,강원 원주시 지니기길 11-12(무실동),NA,NA,강원도,NA,-75.7,0.4,1043.8,4,NA,NA,1,1,,0,0,NA
2022-05486,이노비즈기업,선일이씨티(주),2048149943,김희곤,F.건설업(41~42),건설업본사(소분류),경기도 하남시 미사1동(덕풍동)831번지 1호 현대지식산업센터 한강미사 2차 CC동 234호,45,3457500,경기도,4.3,-52.7,7.1,39,2.2,4,4,0,0,,0,0,4.3
2022-09966,메인비즈기업,주식회사파스텔,1428172618,서길호,"M.전문, 과학 및 기술 서비스업(70~73)",사진 촬영 및 처리업,경기도 용인시기흥구 동백죽전대로491-13(동백동),74,1870833.333,경기도,1.9,NA,-6.5,1734.8,1.3,1.4,2.5,0,0,,0,0,1.9
2022-14569,가족친화인증기업,(재)서울디자인재단,1208209000,유연식,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,서울 종로구 율곡로 283서울디자인지원센터 8층 (종로6가),16,NA,서울특별시,3,47.4,17.7,26.6,1.4,3.5,2.3,0,0,,1,0,3
2022-14233,사회적기업,서울의료복지 사회적협동조합,1088205566,한상환,Q.보건업 및 사회복지 서비스업(86~87),의원,서울 영등포구 대림로 76(대림동),18,2363333.333,서울특별시,1,NA,-19.5,NA,3.4,1,1,0,0,,0,0,1
2022-14550,가족친화인증기업,주식회사 골프존뉴딘홀딩스,3058137721,최덕형,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,서울특별시 강남구 영동대로 735,NA,NA,서울특별시,3,392.9,21.2,17.6,0.1,3.4,2.6,0,0,,1,0,3
2022-00243,신청기업,새롬프로텍(주),1278615710,이정택,C.제조업(10~34),"전동기, 발전기 및 전기 변환ㆍ 공급ㆍ제어 장치 제조업",경기도 양주시 광적면(광적면) 덕도리800번지 8호 새롬프로텍(주),15,2000000,경기도,1.5,-60.6,8,10.2,0.5,3,2.5,1,0,,1,0,1.5
2022-06491,이노비즈기업,삼진기업(주),4168101601,변재웅,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","해체, 선별 및 원료 재생업","전라남도 광양시 중마중앙로 149(중동, 더다정빌딩) 3층",242,2666666.667,전라남도,2.3,351.7,3,435.2,2.4,2.3,2.7,1,1,,0,0,2.3
2022-04033,이노비즈기업,삼중테크(주),2208171883,최종완,F.건설업(41~42),건설업본사(소분류),서울특별시 송파구 법원로 128(문정동) A동 15층 17호,105,2333333.333,서울특별시,3.3,-6.4,2.2,267.4,2.2,2.9,2.6,1,0,,1,0,3.3
2022-11227,메인비즈기업,삼인시스텍 주식회사,1088175497,홍순평,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",컴퓨터 및 통신장비 수리업,서울특별시 금천구 가산디지털1로 233(가산동) 에이스하이엔드타워 9차 12층 1212호,5,1858333.333,서울특별시,1.9,NA,-7.7,25.8,1.7,2.9,1.1,1,1,,0,0,1.9
2022-12897,메인비즈기업,삼성석회(주),2258101005,최혜경,B.광업(05~08),토사석 광업,강원 영월군 중동면 도화동길 156,39,2855000,강원도,NA,NA,0.4,198.2,1,NA,NA,0,0,,1,0,NA
2022-14532,사회적기업,㈜영일기업,2178130042,양종구,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)","경비, 경호 및 탐정업","서울특별시 금천구 서부샛길 534(가산동, 세계일보 212-A호)",NA,NA,서울특별시,NA,-22.4,26.6,30.2,2.6,NA,NA,0,0,,1,0,NA
2022-14500,사회적기업,사회적협동조합되돌림,1048213026,김두식,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,"서울 동대문구 왕산로225, 5층 A동 11호 상가 (청량리동)",223,2500000,서울특별시,NA,NA,-6.1,2.8,3.1,NA,NA,1,0,,0,0,NA
2022-14428,사회적기업,사회적협동조합 창원도우누리,8588200157,김미득,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,"경상남도 창원시 의창구 대봉로26번길 4-5(봉림동, yg빌딩) 3층",146,1714166.667,경상남도,NA,151.4,14.2,63.9,4.6,NA,NA,1,1,,1,0,NA
2022-14525,사회적기업,사회적협동조합 종로돌봄센터,1018224072,한재경,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,"서울 종로구 지봉로 811동 116호 (창신동, 브라운스톤 창신)",NA,NA,서울특별시,NA,-49.4,22,175.7,6.4,NA,NA,0,0,,1,0,NA
2022-14436,사회적기업,사회적협동조합 우리사이,1198211622,천길자,Q.보건업 및 사회복지 서비스업(86~87),기타 보건업,서울특별시 관악구 신림로23길 165층 (일성트루엘),70,2500000,서울특별시,NA,563.2,40.8,66.7,6.5,NA,NA,1,1,,1,0,NA
2022-14364,사회적기업,사회적협동조합 용인도우누리,8158200257,서계현,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,"경기 용인시 기흥구 동백중앙로 191603,604호 (중동, 씨티프라자)",NA,NA,경기도,NA,NA,-2.3,221,0.3,NA,NA,0,0,,0,0,NA
2022-15021,가족친화인증기업,주식회사 티엠디교육그룹,2118796577,고봉익,P.교육 서비스업(85),교육지원 서비스업,"서울 서초구 서초중앙로8길 26(서초동, Unoffice 2)",65,2127500,서울특별시,3,NA,-37.9,13092.1,1.6,2.2,2.5,1,0,,1,0,3
2022-14913,가족친화인증기업,(주)민병철교육그룹,2208112206,민병철,P.교육 서비스업(85),일반 교습 학원,서울특별시 강남구 테헤란로26길 14(역삼동) 4층,114,2595000,서울특별시,2.9,NA,-2.5,313.5,3.9,2.9,2.9,0,0,,1,0,2.9
2022-14798,가족친화인증기업,재단법인 한국발전인재개발원,3168200352,정광성,P.교육 서비스업(85),기타 교육기관,대전광역시 서구 관저1동(관저동)757번지,NA,NA,대전광역시,1,NA,-1.1,116.7,3,4,2,0,0,,1,0,1
2022-14431,사회적기업,사회적협동조합 가가호호돌봄센터,1088210787,김경미,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,서울특별시 영등포구 영등포로64길 311층,43,2500000,서울특별시,NA,32.2,23.3,42.6,3.2,NA,NA,0,0,,1,0,NA
2022-14637,가족친화인증기업,이데일리(주),1078175795,"곽재선, 이익원",J.정보통신업(58~63),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","서울 중구 통일로 9219층 (순화동, 에이스타워)",255,3743333.333,서울특별시,2.9,1256.5,16.8,79.2,0.5,3.5,2.5,1,0,,0,0,2.9
2022-14410,사회적기업,(주) 히든그레이스,2648109846,김성은,J.정보통신업(58~63),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서울특별시 서초구 효령로47길 273층,19,2575833.333,서울특별시,NA,-62.4,18.7,8.1,1.8,NA,NA,1,1,,1,0,NA
2022-14213,제주특별자치도 고용우수기업,보구정 제주,4741100376,김경환,J.정보통신업(58~63),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",제주특별자치도 제주시 오도5길 20(이호이동) 1층,10,1999166.667,제주도,2.7,306.1,207.7,41.3,6.5,2,2,0,0,,0,0,2.7
2022-10086,메인비즈기업,(주)우리매니저,5148163949,김 미,J.정보통신업(58~63),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",대구 달서구 월배로 71진천트위펠리스 2층 207-2호 (진천동),8,1411666.667,대구광역시,4,NA,16.2,105.5,1.1,5,3.5,1,1,,0,0,4
2022-09480,이노비즈기업,(주)한국인프라,2298106899,김기영,J.정보통신업(58~63),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서울 강남구 삼성로 150극동교회빌딩 3층 (대치동),64,4007500,서울특별시,3.2,30,3.8,183.7,1.4,3.5,3.5,0,0,,0,0,3.2
2022-05288,이노비즈기업,(주)아이메코,1078180226,전석환,J.정보통신업(58~63),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업","서울특별시 강서구 화곡로 416,1219호 (등촌동,가양역 더스카이밸리5차 지식산업센터)",17,4575000,서울특별시,3.3,-79.1,4.6,186,0.9,3.8,3.7,0,0,,0,0,3.3
2022-14329,사회적기업,사단법인 한국스포츠컨설팅협회,6078212356,김병진,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 서비스업,"부산 부산진구 양정로 22(양정동, 동의과학대학 내)",33,2500000,부산광역시,NA,NA,-57.3,NA,2.9,NA,NA,1,1,,0,0,NA
2022-00485,신청기업,사단법인 한국문화산업협회,3148217750,박시범,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",기타 협회 및 단체,"세종특별자치시 조치원읍 세종로 2639(조치원읍, 홍익대학교 세종캠퍼스 엘) 107호",12,NA,세종특별자치시,NA,NA,0.3,NA,10.1,NA,NA,0,0,,0,0,NA
2022-14676,가족친화인증기업,(주)자연머금,4028188744,최우식,I.숙박 및 음식점업(55~56),음식점업,"전라북도 전주시 완산구 온고을로 29(서신동, KT 전북본부) 15층",29,1134166.667,전라북도,1.4,28.5,3.9,272.4,0.8,1.6,1.4,1,0,,1,0,1.4
2022-14540,사회적기업,들다방 주식회사,1748600533,김유미,I.숙박 및 음식점업(55~56),음식점업,"서울 종로구 동숭길 25(동숭동, 유리빌딩) 4층",NA,2500000,서울특별시,NA,23.9,20.1,108.4,3.6,NA,NA,1,1,,0,0,NA
2022-14311,사회적기업,사단법인 마당극패 우금치,3058219356,이주행,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",창작 및 예술관련 서비스업,대전 중구 중앙로112번길 15(대흥동),10,1800000,대전광역시,NA,NA,0.2,1295.5,0.2,NA,NA,1,0,,1,0,NA
2022-14530,사회적기업,주식회사낭만연구소,5138180019,박창욱,I.숙박 및 음식점업(55~56),음식점업,경상북도 구미시 산업로 193-84(원평동),40,2562500,경상북도,3.3,NA,6.1,355.7,0.5,2.2,2.9,0,0,,1,0,3.3
2022-00268,신청기업,브이엔에스,5131396263,배상용,C.제조업(10~34),특수 목적용 기계 제조업,"경상북도 구미시 산동면 첨단기업1로 82-3(산동면, 국가4공단)",23,3000000,경상북도,NA,-94.1,1.1,55.8,0.5,NA,NA,1,0,,0,0,NA
2022-16381,안전보건경영시스템 인증,부산패션칼라산업협동조합,6038204169,김병수,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",전기업,부산 사하구 신산로13번길 33(신평동),70,2000000,부산광역시,2.4,NA,-4.3,20.7,0.9,3.1,2.1,1,1,,1,0,2.4
2022-00859,대한민국 일자리 으뜸기업,부산신항국제터미널(주),6178180136,이석,H.운수 및 창고업(49~52),기타 운송관련 서비스업,"부산 강서구 신항남로 330(성북동,부산신항국제터미널 (주))",401,4389166.667,부산광역시,3.1,-19,8.5,87.4,0.7,3.5,3.1,0,0,,0,0,3.1
2022-05962,이노비즈기업,부강이엔에스(주),3178105085,박규식,F.건설업(41~42),건설업본사(소분류),충북 청주시 흥덕구 서부로1168번길 23-4(석곡동),39,2461666.667,충청북도,NA,-45,6.6,54.5,1.5,NA,NA,1,0,,1,0,NA
2022-14905,가족친화인증기업,베어링자산운용 주식회사,1168134269,"배인수,박종학",K.금융 및 보험업(64~66),신탁업 및 집합투자업,"서울 중구 을지로 297층 (을지로1가, 더존을지타워)",69,12500000,서울특별시,1,-15.6,11.9,21,NA,2,1,1,0,,1,0,1
2022-01721,이노비즈기업,베스띠아(주),1068652192,윤정호,F.건설업(41~42),건설업본사(소분류),"서울특별시 영등포구 당산로41길 11(당산동4가, 당산SKV1센터 E동 702호)",42,1666666.667,서울특별시,2.1,47.5,4.7,43.9,1.3,0.6,2.3,0,0,,0,0,2.1
2022-07303,이노비즈기업,반도산전(주),6058132247,서보석,F.건설업(41~42),건설업본사(소분류),"부산 해운대구 센텀중앙로 781308호 (우동,센텀그린타워)",40,2000000,부산광역시,3,-7,8.2,59.8,2.6,3,3,0,0,,0,0,3
2022-14513,사회적기업,상지대학교 소비자생활협동조합,2248210643,이상혁,I.숙박 및 음식점업(55~56),음식점업,"강원 원주시 상지대길 83(우산동, 상지대학교)",13,2129166.667,강원도,NA,44,3.4,139.5,3.8,NA,NA,1,1,,0,0,NA
2022-01719,이노비즈기업,바이트커뮤니케이션즈,1858100692,이연재,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,서울특별시 용산구 장문로 261층 (트리플러스),33,1833333.333,서울특별시,2.2,NA,7.1,309.1,3.1,1.9,2.8,1,0,,1,0,2.2
2022-14486,사회적기업,주식회사 신세화에프앤에스,4628800583,김민규,I.숙박 및 음식점업(55~56),음식점업,부산광역시 강서구 녹산화전로 275(녹산동) 가동 202호,53,2000000,부산광역시,NA,675.8,13,259.6,3.8,NA,NA,0,0,,1,0,NA
2022-14223,사회적기업,민들레의료복지 사회적협동조합,3058212732,나준식,Q.보건업 및 사회복지 서비스업(86~87),의원,대전 대덕구 계족로663번길26 (법동),43,3121666.667,대전광역시,NA,159.4,3,647.7,1.2,NA,NA,0,0,,1,0,NA
2022-00104,신청기업,명인선재압연 주식회사,1318638992,권명길,C.제조업(10~34),1차 철강 제조업,경기도 시흥시 마유로186번길 106(정왕동),26,2708333.333,경기도,NA,3.1,4.4,178.8,0.7,NA,NA,1,1,,0,0,NA
2022-12836,메인비즈기업,마루요양병원,4109091392,백상훈,Q.보건업 및 사회복지 서비스업(86~87),병원,전남 화순군 춘양면 개천로 249B L (마루요양병원),131,1333333.333,전라남도,NA,-26,6.2,180.4,0.9,NA,NA,1,0,,1,0,NA
2022-10774,메인비즈기업,린텍스기업주식회사,1288151640,"탁정식, 권춘교(각자대표)","S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",그 외 기타 개인 서비스업,경기도 파주시 법원읍 술이홀로 960-1(법원읍),105,2617500,경기도,NA,1.3,6.4,209.5,1,NA,NA,0,0,,0,0,NA
2022-10438,메인비즈기업,르노삼성자동차광산정비사업소(주),4108681785,신윤식,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",자동차 및 모터사이클 수리업,광주 광산구 용아로 202(우산동),26,2858333.333,광주광역시,3.2,271,5.9,289.6,0.8,3.5,2.8,1,0,,1,0,3.2
2022-14477,사회적기업,"주식회사 채움푸드

",6118127749,김순수,I.숙박 및 음식점업(55~56),음식점업,경상북도 포항시 남구 문예로 39(대도동),18,2500000,경상북도,2.4,NA,-18.8,1292.8,1.1,2.5,2.7,0,0,,1,0,2.4
2022-14356,사회적기업,드림돌봄센터㈜,5078111894,황윤길,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,경상북도 울진군 기성면 망양로 73(기성면),44,2002500,경상북도,NA,12.1,18.1,154.8,3.5,NA,NA,1,1,,0,0,NA
2022-08449,이노비즈기업,두제산업개발(주),3018128744,이배식,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,충북 청주시 서원구 남이면 저산척북로 542두제산업개발(주),40,3134166.667,충청북도,2.3,6889.3,16.9,72.9,0.3,1.7,3,1,1,,1,0,2.3
2022-13687,메인비즈기업,동해현진관광호텔(주),2228128209,채창희,I.숙박 및 음식점업(55~56),일반 및 생활 숙박시설 운영업,"강원 동해시 동굴로 125-3(천곡동, 동해현진관광호텔)",27,2517500,강원도,NA,NA,0.4,159.3,0.1,NA,NA,0,0,,1,0,NA
2022-06475,이노비즈기업,동해정보통신(주),1188113673,이창원,F.건설업(41~42),건설업본사(소분류),서울 영등포구 대림로29길 43(대림동),56,2454166.667,서울특별시,1.8,NA,-2.7,60.2,1.5,2.5,1,0,0,,1,0,1.8
2022-14469,사회적기업,열린부뚜막협동조합,5208600565,추경미,I.숙박 및 음식점업(55~56),음식점업,대전광역시 유성구 지족로364번길 19(지족동) 103호,7,2415833.333,대전광역시,NA,-43.1,6.5,343.5,1.4,NA,NA,0,0,,1,0,NA
2022-01705,이노비즈기업,동아환경개발(주),3018164245,박연기,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",충북 진천군 이월면 수청길 149-13,17,2919166.667,충청북도,NA,NA,4.5,29.8,0.7,NA,NA,0,0,,1,0,NA
2022-00247,신청기업,동서산업(주),6218171617,서정권,C.제조업(10~34),일반 목적용 기계 제조업,부산광역시 기장군 일광면 기장대로 1157(일광면),56,2700000,부산광역시,4,46,10.6,63.7,0.7,3.7,4.3,0,0,,0,0,4
2022-06885,이노비즈기업,동부이엔티(주),1258141328,"허진원, 이호성(각자대표)","E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)",폐기물 처리업,경기 안성시 원곡면 지문로 432,31,2887500,경기도,NA,33.9,17.4,48,1.1,NA,NA,0,0,,0,0,NA
2022-02369,이노비즈기업,동방환경산업(주),5088102613,김도현,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",경상북도 안동시 앙실로 333(수하동),35,2699166.667,경상북도,NA,4.9,5.2,30.4,0.5,NA,NA,1,0,,0,0,NA
2022-10543,메인비즈기업,동명자동차공업사,4160184707,김태훈,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",자동차 및 모터사이클 수리업,전남 순천시 원연향길 16(연향동),NA,NA,전라남도,NA,28.5,22.8,110.8,2,NA,NA,0,0,,1,0,NA
2022-04504,이노비즈기업,동남전기통신(주),2228106302,최승효,F.건설업(41~42),건설업본사(소분류),강원 삼척시 사대안길 16(남양동),32,2853333.333,강원도,3.7,35.2,2.3,34.9,0.9,3,2.7,0,0,,0,0,3.7
2022-14397,사회적기업,도우누리정다운 사회적협동조합,5068212223,최윤경,Q.보건업 및 사회복지 서비스업(86~87),거주 복지시설 운영업,인천광역시 부평구 굴포로7번길 312층,95,1837500,인천광역시,NA,51.9,9.3,198.9,1.7,NA,NA,0,0,,0,0,NA
2022-00360,신청기업,대한산업보수(주),4178110286,양승호,F.건설업(41~42),건설업본사(소분류),전라남도 여수시 삼동3길 7(주삼동),62,2750000,전라남도,2.7,NA,-15.2,40.4,0.9,1.2,2.5,0,0,,1,0,2.7
2022-14682,가족친화인증기업,대전열병합발전 주식회사,3148174846,김대수,"D.전기, 가스, 증기 및 공기 조절 공급업(35)","증기, 냉,온수 및 공기조절 공급업","대전광역시 대덕구 신일서로68번길 71(신일동, 10동)",57,4359166.667,대전광역시,NA,141.8,4.1,28.7,0.6,NA,NA,1,0,,1,0,NA
2022-14380,사회적기업,레드리본사회적협동조합 (빅핸즈),5028625739,김지영,I.숙박 및 음식점업(55~56),음식점업,대구 동구 동호로9길 65(신서동) 뉴하모니,20,NA,대구광역시,1,NA,-7.2,942.5,1.2,1,1,0,0,,1,0,1
2022-14845,가족친화인증기업,대일에너지 주식회사,2228119675,장혜경,"D.전기, 가스, 증기 및 공기 조절 공급업(35)",연료용 가스 제조 및 배관공급업,강원 동해시 동해대로 5271(천곡동),16,2687500,강원도,NA,-39.6,4.5,25.2,1.7,NA,NA,0,0,,0,0,NA
2022-09092,이노비즈기업,대일개발(주),1348108890,김대웅,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","폐기물 수집, 운반업",경기 안산시 단원구 지원로 7시화공단 5바 514호 (성곡동),95,3790000,경기도,NA,-26.6,6.4,57.1,0.3,NA,NA,0,0,,1,0,NA
2022-00161,신청기업,대양화성,1248135667,이두희,C.제조업(10~34),플라스틱제품 제조업,경기 용인시 처인구 남사읍 경기동로 109-18,96,3166666.667,경기도,1.7,-53.4,4.9,14.5,0.8,1.5,1.9,0,0,,0,0,1.7
2022-03255,이노비즈기업,대신엔에스(주),2048137258,정동진,F.건설업(41~42),건설업본사(소분류),서울 성동구 천호대로 448(용답동),58,1833333.333,서울특별시,2.7,-7.2,6.8,27.9,1.9,2.7,2.5,1,1,,1,0,2.7
2022-02849,이노비즈기업,대신네트웍스주식회사,1248137312,연규현,F.건설업(41~42),건설업본사(소분류),경기 수원시 영통구 중부대로 327(원천동),130,1833333.333,경기도,2.5,-58.4,3,16.7,2.1,2.8,2.4,1,0,,0,0,2.5
2022-00123,신청기업,대성네트웍(주),1148615581,백성현,F.건설업(41~42),건설업본사(소분류),경기 광명시 하안로 60B동 1105호 (소하동),72,2669166.667,경기도,NA,-17,8.4,62.7,1.6,NA,NA,1,0,,0,0,NA
2022-00250,신청기업,대성기계공업(주),1338126804,이칠성,C.제조업(10~34),일반 목적용 기계 제조업,경기 시흥시 공단1대로 334(정왕동)1288-1,84,3152500,경기도,2.6,143.9,14.1,27.3,1.3,2,3.4,1,0,,0,0,2.6
2022-00319,신청기업,대덕자동차직업전문학교,3069003681,전원식,P.교육 서비스업(85),기타 교육기관,대전광역시 동구 동서대로 1710(가양동),6,NA,대전광역시,2.5,-81.4,2.4,225.1,0.9,2,2.5,1,1,,0,0,2.5
2022-13280,메인비즈기업,대구시티병원,5029069170,박인우,Q.보건업 및 사회복지 서비스업(86~87),의원,대구 북구 동북로 270(복현동),147,NA,대구광역시,1.6,22,10.2,970.2,1.3,2.2,1.6,0,0,,0,0,1.6
2022-00148,신청기업,다보코퍼레이션(주),1138143191,김창수,G.도매 및 소매업(45~47),기계장비 및 관련 물품 도매업,"서울 금천구 가산디지털2로 115대륭테크노타운3차 909 (가산동,대륭테크노타운Ⅲ)",40,2300000,서울특별시,3.1,45.7,18.7,41.5,0.9,2.8,3.4,0,0,,1,0,3.1
2022-14306,사회적기업,주식회사 늘사랑회디앤씨,2108169449,김선길,I.숙박 및 음식점업(55~56),음식점업,"서울 도봉구 도봉로152가길 20-4(도봉동, 2층)",12,NA,서울특별시,NA,-25.5,4,373.2,1.3,NA,NA,1,0,,1,0,NA
2022-12607,메인비즈기업,농업회사법인 주식회사 참푸른푸드,4098631193,박선미,I.숙박 및 음식점업(55~56),음식점업,전남 담양군 담양읍 월광로 43(주)서림유통,10,3094166.667,전라남도,NA,3.3,3,246.6,1,NA,NA,1,1,,1,0,NA
2022-10119,메인비즈기업,논산태양특장정비(주),3088124564,최우식,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",자동차 및 모터사이클 수리업,충남 논산시 은진면 매죽헌로 94-48,17,2465000,충청남도,NA,-23.8,6.5,143.4,0.7,NA,NA,1,0,,0,0,NA
2022-13701,메인비즈기업,(주)올앤컴퍼니,1328619552,이권희,I.숙박 및 음식점업(55~56),음식점업,경기 남양주시 화도읍 맷돌로 34B동 우측1층,NA,NA,경기도,NA,-59.5,21.4,51.8,2.6,NA,NA,1,1,,0,0,NA
2022-00171,신청기업,남양에스티엔,4128102608,최승곤,F.건설업(41~42),건설업본사(소분류),광주 광산구 사암로172번길 45(우산동),220,3454166.667,광주광역시,2,-3.1,7.5,42,1.5,2.6,2.8,0,0,,1,0,2
