연번,브랜드명,사업장명,사업자등록번호,대표자명,업종(중분류),업종(소분류),주소,직원수,임금(월),소재지,수평적 조직문화,순이익증가율,총자산순이익율,부채비율,총자본회전율,워라밸,자아실현,육아휴직,"사내 육아 
시설/서비스","근무안정성
(위험도)","사내 장애인
시설/서비스","근무안정성
(위험도)",수평적 조직 문화
2022-14807,가족친화인증기업,충주시시설관리공단,8938200072,김원식,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 서비스업,충청북도 충주시 탄금대로 117(충주시시설관리공단),NA,2272500,충청북도,2.7,NA,NA,150.4,41.1,3.7,2,0,0,,0,0,2.7
2022-14806,가족친화인증기업,충북신용보증재단,3018210751,김교선,K.금융 및 보험업(64~66),보험업,충북 청주시 흥덕구 풍산로 50충북중소기업종합지원센터5층 (가경동),69,3986666.667,충청북도,1.9,NA,-3.7,31.9,NA,1.8,2.1,1,1,,0,0,1.9
2022-06985,이노비즈기업,청해이엔브이주식회사,1418109617,이병관,F.건설업(41~42),건설업본사(소분류),"경기 파주시 가나무로 1431동 308호 (금릉동, 파주메트로프라자)",72,2818333.333,경기도,4,NA,-8.3,22.4,2.6,4,3,1,0,,1,0,4
2022-07022,이노비즈기업,(유)한성산기,4018134740,백대준,C.제조업(10~34),일반 목적용 기계 제조업,전북 군산시 옥구읍 광월안길 26,39,2924166.667,전라북도,NA,-40.5,2.3,211,1.7,NA,NA,1,0,,0,0,NA
2022-09917,메인비즈기업,청수기술환경(주),3178107064,남기양,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","하수, 폐수 및 분뇨 처리업",충청북도 청주시 청원구 오창읍 중신길 11(오창읍) 3층,11,3218333.333,충청북도,NA,239.2,8.2,49.9,1.9,NA,NA,1,1,,1,0,NA
2022-04682,이노비즈기업,청록엔지니어링(주),1418110865,김종훈,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","하수, 폐수 및 분뇨 처리업",경기 파주시 탄현면 평화로 5691동 5호,55,2676666.667,경기도,3,16.1,25.5,38.2,2.7,3.4,3.4,0,0,,0,0,3
2022-14738,가족친화인증기업,청도공영사업공사,5158206521,우군택,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",스포츠 서비스업,경북 청도군 화양읍 삼신리202번지,32,4570000,경상북도,NA,NA,-12.2,92.3,5.1,NA,NA,1,1,,0,0,NA
2022-07018,이노비즈기업,화신주방산업(주),1268183938,"이승구, 이재천",C.제조업(10~34),가정용 기기 제조업,경기 광주시 고불로229번길 32(태전동),46,2680833.333,경기도,NA,-13.5,16,8.6,1.6,NA,NA,0,0,,0,0,NA
2022-07955,이노비즈기업,진우산전(주),1058153698,정진태,F.건설업(41~42),건설업본사(소분류),서울특별시 강남구 도산대로 149-0(신사동) 7층,311,2986666.667,서울특별시,2.2,42.9,13.6,47.2,1.7,2.5,2,0,0,,0,0,2.2
2022-00137,신청기업,지푸드,1230499779,정재천,C.제조업(10~34),"도축, 육류 가공 및 저장 처리업",경기 평택시 청북읍 청오로 405-15,62,2152500,경기도,NA,-1.9,18.2,343.3,2.1,NA,NA,0,0,,1,0,NA
2022-00448,신청기업,지평건설(주),3018168163,송성섭,F.건설업(41~42),건설업본사(소분류),충북 청주시 상당구 대성로180번길 105(수동),34,4552500,충청북도,3,687,13.4,66.8,1,2.5,2.5,0,0,,1,0,3
2022-00783,대한민국 일자리 으뜸기업,지역난방플러스(주),5068601326,유영근,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",건물ㆍ산업설비 청소 및 방제 서비스업,경기 용인시 기흥구 동백중앙로16번길 282층 (중동),365,3420000,경기도,3,NA,9.3,333.7,4.7,2.9,2.1,1,1,,0,0,3
2022-05127,이노비즈기업,지엘기술 주식회사,4168154035,윤홍구,F.건설업(41~42),건설업본사(소분류),경기도 의왕시 양지편2로 11(청계동) 4층 401호,13,3381666.667,경기도,2,642.8,10.5,24.1,0.9,2,2.6,1,1,,1,0,2
2022-06107,이노비즈기업,주흥환경(주),1358129393,이길재,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","하수, 폐수 및 분뇨 처리업","경기도 화성시 병점동로164번길 39(진안동, 광림빌딩) 201호",53,2962500,경기도,2,-39.4,2.4,65.8,1.1,2.4,2.1,1,1,,1,0,2
2022-14262,사회적기업,㈜천안돌봄사회서비스센터,3128611078,정경록,Q.보건업 및 사회복지 서비스업(86~87),거주 복지시설 운영업,"충남 천안시 서북구 성정두정로 12305호 (성정동, 두정메트로존)",307,NA,충청남도,NA,153.3,8.7,46.5,2.6,NA,NA,0,0,,0,0,NA
2022-00140,신청기업,㈜제이앤에스,2128162383,김영재,C.제조업(10~34),전자부품 제조업,"경기 용인시 기흥구 흥덕중앙로 1201006호 (영덕동, U - TOWER)",52,3315833.333,경기도,2,-20,3.1,42.7,1.3,2.4,2.6,1,1,,0,0,2
2022-14264,사회적기업,㈜작은자리돌봄센터,1408139234,안민희,Q.보건업 및 사회복지 서비스업(86~87),비거주 복지시설 운영업,경기 시흥시 대은로 16-101층 (은행동),280,2500000,경기도,NA,-50.4,8,100.7,5,NA,NA,0,0,,0,0,NA
2022-00208,신청기업,㈜유브레인커뮤니케이션즈,1148667361,이성용,"M.전문, 과학 및 기술 서비스업(70~73)",광고업,서울 마포구 창전로 906층 (신수동),47,2270250,서울특별시,4,532.4,39,76.9,3.8,1,5,0,0,,1,0,4
2022-00270,신청기업,㈜에이치에스코프레이션,6088178029,정대철,C.제조업(10~34),전자부품 제조업,경남 창원시 마산회원구 내서읍 광려천남로 59마산벨리 507호 (경남개발공사 아파트형공장),22,2500000,경상남도,4,-11,7.6,150.7,1.1,4,4,0,0,,1,0,4
2022-01046,인재육성형중소기업,㈜아스트로캠프,1288719512,김승현,P.교육 서비스업(85),교육지원 서비스업,경기도 고양시 일산동구 중산로 306-174(성석동),15,2166666.667,경기도,NA,-15.9,8.7,186.5,0.8,NA,NA,0,0,,1,0,NA
2022-02613,이노비즈기업,주식회사한얼종합건설,1348659282,김상수,F.건설업(41~42),건설업본사(소분류),"경기 안산시 단원구 광덕4로 144A동 503호(고잔동, 트윈타운)",52,2500000,경기도,2,52.3,15,71.1,5.5,2,3,0,0,,1,0,2
2022-02611,이노비즈기업,주식회사한민,3128639659,김재찬,"E.수도, 하수 및 폐기물 처리, 원료 재생업(36~39)","해체, 선별 및 원료 재생업",충남 아산시 둔포면 해위안길 82-10,14,3140833.333,충청남도,NA,190.8,11.4,281.7,1.6,NA,NA,1,1,,0,0,NA
2022-00249,신청기업,주식회사포웰,5068156603,은종순,"M.전문, 과학 및 기술 서비스업(70~73)",회사 본부 및 경영 컨설팅 서비스업,경상북도 포항시 남구 오천읍 하원로 29(오천읍),191,2516666.667,경상북도,3.7,0.1,1,488.1,2.4,3.7,3.3,1,1,,0,0,3.7
2022-07395,이노비즈기업,주식회사제이에이치,2218127357,양치호,F.건설업(41~42),건설업본사(소분류),강원 춘천시 퇴계농공로 112(주)제이에이치,29,NA,강원도,NA,NA,0.3,19.3,1.1,NA,NA,1,1,,1,0,NA
2022-03765,이노비즈기업,주식회사유진씨엔이,2048159140,"이광철,이성영",F.건설업(41~42),건설업본사(소분류),서울특별시 동대문구 홍릉로 48-1(청량리동) 4층,40,2500000,서울특별시,NA,-13,5,105.3,0.8,NA,NA,0,0,,1,0,NA
2022-07015,이노비즈기업,호산엔지니어링(주),1388107118,정원규,C.제조업(10~34),특수 목적용 기계 제조업,경기 화성시 팔탄면 터넉골로165번길 10호산엔지니어링(주),18,3714166.667,경기도,NA,159,2.8,236.9,1.4,NA,NA,1,1,,0,0,NA
2022-03761,이노비즈기업,주식회사에프엑스솔루션,1198648068,장현국,"R.예술, 스포츠 및 여가관련 서비스업(90~91)",창작 및 예술관련 서비스업,"서울특별시 금천구 디지털로 130(가산동, 남성프라자) 802호",11,2500000,서울특별시,3,NA,-13.1,269.4,0.2,3,3,1,1,,1,0,3
2022-07014,이노비즈기업,협진커넥터 주식회사,1408176772,최영식,C.제조업(10~34),통신 및 방송 장비 제조업,"경기 안산시 단원구 엠티브이12로 16(성곡동, 협진커넥터(주))",127,2591666.667,경기도,2.8,NA,6.4,48.7,0.7,3.2,2,0,0,,1,0,2.8
2022-01975,이노비즈기업,주식회사스타일씨코퍼레이션,1178179518,박재범,J.정보통신업(58~63),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",대전 서구 청사로 13618층 알 1843호,18,NA,대전광역시,NA,-77.4,0.7,32.3,1,NA,NA,1,0,,1,0,NA
2022-00831,대한민국 일자리 으뜸기업,주식회사샤프테크닉스케이,1218608356,백순석,"S.협회 및 단체, 수리 및 기타 개인 서비스업(94~96)",산업용 기계 및 장비 수리업,인천광역시 중구 운서동 (운서동)2850 에이에이씨티화물터미널 302호,219,2359166.667,인천광역시,1.7,NA,7.1,108,0.5,1.6,1.9,1,1,,1,0,1.7
2022-01964,이노비즈기업,주식회사빵야네트윅스,1378700453,정명석,J.정보통신업(58~63),"자료처리, 호스팅, 포털 및 기타 인터넷 정보매개 서비스업",서울특별시 마포구 동교로12길 64층 (장강빌딩),15,3670000,서울특별시,3,NA,15.4,55.1,0.9,3.1,3.2,0,0,,0,0,3
2022-02966,이노비즈기업,주식회사보고텍,1238607085,염규용,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,경기 군포시 경수대로 455한솔테크노타운 102호 (당정동),12,3138333.333,경기도,3.5,27.2,7.7,7.7,2,4.5,3,0,0,,1,0,3.5
2022-01959,이노비즈기업,주식회사바탕색이엔지,1058799963,이원준,F.건설업(41~42),건설업본사(소분류),서울 강서구 개화동로21길 4방화11단지아파트 상가동 201호,31,2500000,서울특별시,NA,36.1,21,99.9,1.5,NA,NA,0,0,,0,0,NA
2022-00829,대한민국 일자리 으뜸기업,주식회사무신사,2118879575,조만호,"N.사업시설 관리, 사업 지원 및 임대 서비스업(74~76)",기타 사업지원 서비스업,"서울 강남구 언주로174길 30지하1층 (신사동, 로빈명품관)",943,4283192,서울특별시,2.5,393.3,18,112.3,0.6,2.8,2.5,0,0,,1,0,2.5
2022-01949,이노비즈기업,주식회사마블러스,1778800119,임세라,P.교육 서비스업(85),교육지원 서비스업,서울특별시 강남구 봉은사로16길 37(역삼동),70,2500000,서울특별시,3.5,NA,-12,94.5,1.2,3.6,3.4,0,0,,0,0,3.5
2022-03369,이노비즈기업,주식회사금영이엔지,3148192242,최승호,F.건설업(41~42),건설업본사(소분류),"대전광역시 유성구 엑스포로 385(문지동, 트루윈 3층 금영이엔지)",144,3961666.667,대전광역시,3,18.7,3.6,124,1.9,2.3,3.4,1,0,,0,0,3
2022-13603,메인비즈기업,주식회사 휴먼푸드서비스,7748701135,김종철,I.숙박 및 음식점업(55~56),음식점업,경기 수원시 권선구 경수대로 93401호 (대황교동),180,2533333.333,경기도,NA,NA,12.5,525.3,4.3,NA,NA,1,0,,1,0,NA
